setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
24,30.2,2.6,95.1,2234,46.7,3,20.0,3,7.3,2,,,,0,,1
20,34.8,2.8,84.6,2179,48.5,3,29.2,3,11.7,3,1,,,0,,1
4,7.4,1.8,39.7,55,9.5,2,7.3,2,5.3,2,2,,,0,,1
5,37.6,3.0,64.8,588,49.3,3,31.8,3,26.7,3,,1,,1,,1
4,45.0,3.3,45.8,572,60.8,4,40.5,3,29.2,3,1,1,,1,,1
1,8.0,2.0,,16,8.0,2,8.0,2,8.0,2,2,1,,1,,1
10,30.5,2.5,108.7,895,45.7,3,20.0,3,4.0,2,,2,,2,,1
9,33.4,2.7,101.0,891,45.7,3,20.0,3,6.5,2,1,2,,2,,1
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,2,,2,,1
6,33.3,2.5,97.4,670,47.7,3,26.7,3,8.0,1,,3,,3,,1
6,33.3,2.5,97.4,670,47.7,3,26.7,3,8.0,1,1,3,,3,,1
3,10.9,2.3,40.4,81,15.3,3,11.0,2,6.5,2,,5,,5,,1
1,15.3,3.0,,46,15.3,3,15.3,3,15.3,3,1,5,,5,,1
2,8.8,2.0,36.4,35,11.0,2,8.8,2,6.5,2,2,5,,5,,1
4,45.0,3.3,45.8,572,60.8,4,40.5,3,29.2,3,,1,13,13,,1
4,45.0,3.3,45.8,572,60.8,4,40.5,3,29.2,3,1,1,13,13,,1
1,8.0,2.0,,16,8.0,2,8.0,2,8.0,2,,1,15,15,,1
1,8.0,2.0,,16,8.0,2,8.0,2,8.0,2,2,1,15,15,,1
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,,2,21,21,,1
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,2,21,21,,1
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,,2,22,22,,1
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,1,2,22,22,,1
1,45.7,3.0,,137,45.7,3,45.7,3,45.7,3,,2,23,23,,1
1,45.7,3.0,,137,45.7,3,45.7,3,45.7,3,1,2,23,23,,1
1,6.5,2.0,,13,6.5,2,6.5,2,6.5,2,,2,24,24,,1
1,6.5,2.0,,13,6.5,2,6.5,2,6.5,2,1,2,24,24,,1
1,2.0,2.0,,4,2.0,2,2.0,2,2.0,2,,2,26,26,,1
1,2.0,2.0,,4,2.0,2,2.0,2,2.0,2,1,2,26,26,,1
5,48.8,3.0,73.2,732,67.7,3,34.0,3,20.0,3,,2,28,28,,1
5,48.8,3.0,73.2,732,67.7,3,34.0,3,20.0,3,1,2,28,28,,1
5,39.7,2.8,79.6,669,47.7,3,34.0,3,19.3,3,,3,31,31,,1
5,39.7,2.8,79.6,669,47.7,3,34.0,3,19.3,3,1,3,31,31,,1
1,1.0,1.0,,1,1.0,1,1.0,1,1.0,1,,3,33,33,,1
1,1.0,1.0,,1,1.0,1,1.0,1,1.0,1,1,3,33,33,,1
2,10.9,2.5,57.2,59,15.3,3,10.9,3,6.5,2,,5,50,50,,1
1,15.3,3.0,,46,15.3,3,15.3,3,15.3,3,1,5,50,50,,1
1,6.5,2.0,,13,6.5,2,6.5,2,6.5,2,2,5,50,50,,1
1,11.0,2.0,,22,11.0,2,11.0,2,11.0,2,,5,52,52,,1
1,11.0,2.0,,22,11.0,2,11.0,2,11.0,2,2,5,52,52,,1
4,45.0,3.3,45.8,572,60.8,4,40.5,3,29.2,3,,1,13,1302603,02603,1
1,8.0,2.0,,16,8.0,2,8.0,2,8.0,2,,1,15,1501006,01006,1
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,,2,21,2100501,00501,1
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,,2,22,2211001,11001,1
1,45.7,3.0,,137,45.7,3,45.7,3,45.7,3,,2,23,2307650,07650,1
1,6.5,2.0,,13,6.5,2,6.5,2,6.5,2,,2,24,2408102,08102,1
1,2.0,2.0,,4,2.0,2,2.0,2,2.0,2,,2,26,2611606,11606,1
